update,mean_train_return,dev_wwt_mean,entropy,value_loss,seconds
431,-3.649048,410.680213,0.703314,1.820046,0.804
432,-4.054738,410.680213,0.586213,1.965146,1.026
433,-2.753786,410.680213,0.508909,1.915676,0.754
434,-5.261733,410.680213,0.611543,2.866043,1.070
435,-2.432667,410.680213,0.650173,1.681702,0.800
436,-3.527492,410.680213,0.481800,1.991663,1.024
437,-2.842553,410.680213,0.479098,0.963509,0.777
438,-0.655211,410.680213,0.604053,1.469864,1.072
439,-3.503665,410.680213,0.536587,0.819055,0.787
440,-1.399027,410.680213,0.677152,1.250073,1.901
441,-4.988987,410.680213,0.456626,3.455817,0.794
442,-1.420245,410.680213,0.315133,1.351835,1.048
443,-4.142559,410.680213,0.580333,1.222130,0.949
444,-3.980763,410.680213,0.404202,2.095241,1.098
445,-1.892389,410.680213,0.676356,1.325384,0.932
446,-4.662770,410.680213,0.748539,1.720183,1.075
447,-5.551413,410.680213,0.557376,3.361663,0.912
448,-2.564974,410.680213,0.677926,1.520589,1.078
449,-2.114237,410.680213,0.555563,1.476485,0.879
450,-5.437009,410.680213,0.658907,3.956359,1.066
451,-3.182449,410.680213,0.637062,1.615943,0.835
452,-1.688545,410.680213,0.623168,1.186470,1.092
453,-3.319408,410.680213,0.526415,1.197171,0.863
454,-1.900730,410.680213,0.364561,0.990802,1.088
455,-2.644094,410.680213,0.419457,1.401715,0.854
456,-2.141749,410.680213,0.482309,1.335903,1.079
457,-2.522007,410.680213,0.724126,1.604589,0.893
458,-4.684440,410.680213,0.508545,2.408660,1.073
459,-5.395803,410.680213,0.378817,2.363888,0.880
460,-4.780765,410.680213,0.588096,2.420144,1.998
461,-2.172318,410.680213,0.736777,1.108039,0.931
462,-4.432024,410.680213,0.534635,2.049243,1.087
463,-1.124325,410.680213,0.783062,1.688851,0.999
464,-2.984079,410.680213,0.718225,1.034374,1.103
465,-2.741834,410.680213,0.571028,1.182682,0.877
466,-4.270823,410.680213,0.458853,3.610777,1.078
467,-2.595584,410.680213,0.724576,1.693249,0.894
468,-5.192272,410.680213,0.553666,2.683220,1.100
469,-2.160435,410.680213,0.802762,1.687093,0.923
470,-2.413807,410.680213,0.765345,1.405789,1.142
471,-3.104018,410.680213,0.312423,1.031345,0.906
472,-0.778431,410.680213,0.600261,0.779115,1.081
473,-3.848210,410.680213,0.604079,1.671319,0.891
474,-2.777219,410.680213,0.659855,1.440525,1.088
475,-3.803237,410.680213,0.648540,1.261852,0.878
476,-2.783071,410.680213,0.483843,1.233567,1.097
477,-4.230075,410.680213,0.589532,1.493099,0.903
478,-2.499484,410.680213,0.571765,1.050528,1.099
479,-1.867029,410.680213,0.412095,0.858154,0.895
480,-3.991314,410.742713,0.451887,2.590329,2.046
481,-5.404974,410.742713,0.579724,1.363175,0.916
482,-3.322206,410.742713,0.368979,1.347161,1.102
483,-1.708929,410.742713,0.446849,1.347627,0.948
484,-4.431606,410.742713,0.749940,2.028677,1.252
485,-2.063108,410.742713,0.795740,1.659076,1.012
486,-4.464226,410.742713,0.539776,1.852674,1.285
487,-4.285561,410.742713,0.532873,2.103515,0.944
488,-3.006826,410.742713,0.689194,0.735673,1.194
489,-1.131088,410.742713,0.371551,0.715127,1.056
490,-3.413516,410.742713,0.452989,1.699916,1.210
491,-3.108588,410.742713,0.603005,1.147584,1.022
492,-1.725108,410.742713,0.702488,1.862400,1.249
493,-3.405231,410.742713,0.659877,2.237621,0.973
494,-4.301764,410.742713,0.459768,1.827323,1.207
495,-3.004355,410.742713,0.343726,1.302357,1.000
