analysis,scope_type,scope,family,reference,n_configs,n_clusters_base,n_clusters_component,mean_ref,mean_diff,ci_lo_base,ci_hi_base,verdict_base,ci_lo_component,ci_hi_component,verdict_component,ci_width_base,ci_width_component,width_ratio,verdict_changed
size,emp_m_size,m=0.6|size=150,atc,edd,120,120,,205.39232333333334,1.0558983333333332,0.08309904166666662,2.76349975,inconclusive,,,,2.680400708333333,,,
size,emp_m_size,m=0.6|size=150,wmdd,edd,120,120,,205.39232333333334,0.6404183333333322,0.08333333333333333,1.5410988749999968,equivalent,,,,1.4577655416666635,,,
size,emp_m_size,m=0.6|size=150,lpt,edd,120,120,,205.39232333333334,3.477783333333333,0.6700401666666661,7.185134499999999,inconclusive,,,,6.515094333333333,,,
size,emp_m_size,m=0.6|size=150,random,edd,120,120,,205.39232333333334,3.5017449999999988,1.283039666666667,6.573078499999998,inconclusive,,,,5.29003883333333,,,
size,emp_m_size,m=0.6|size=150,mlp_pool,edd,120,120,,205.39232333333334,-0.057572499999999464,-0.2662187083333315,0.10336000416666519,equivalent,,,,0.3695787124999967,,,
size,emp_m_size,m=0.6|size=150,attn_pool,edd,120,120,,205.39232333333334,0.7208253333333329,0.22118527499999896,1.4412853833333301,equivalent,,,,1.2201001083333312,,,
size,emp_m_size,m=0.6|size=150,v1_pool,edd,120,120,,205.39232333333334,-0.13175222222222396,-0.35649666666666774,0.0023066666666636594,equivalent,,,,0.3588033333333314,,,
size,emp_m_size,m=0.6|size=150,rollcp2,edd,32,32,,268.60623125,0.145962500000001,0.011549375000000625,0.40675406249999957,equivalent,,,,0.39520468749999893,,,
size,emp_m_size,m=0.6|size=400,pfifo,edd,60,60,,944.3561800000002,0.0,0.0,0.0,equivalent,,,,0.0,,,
size,emp_m_size,m=0.6|size=400,wspt,edd,60,60,,944.3561800000002,30.346256666666672,14.52175141666664,49.01668091666676,worse,,,,34.49492950000012,,,
size,emp_m_size,m=0.6|size=400,atc,edd,60,60,,944.3561800000002,12.069000000000033,3.876769750000021,21.35407783333336,inconclusive,,,,17.477308083333337,,,
size,emp_m_size,m=0.6|size=400,wmdd,edd,60,60,,944.3561800000002,8.829383333333327,4.276237999999994,14.303900333333338,inconclusive,,,,10.027662333333344,,,
size,emp_m_size,m=0.6|size=400,lpt,edd,60,60,,944.3561800000002,248.15127666666663,52.95922991666668,567.2696971666663,worse,,,,514.3104672499996,,,
size,emp_m_size,m=0.6|size=400,random,edd,60,60,,944.3561800000002,75.80115666666666,17.50702141666664,177.30384624999996,worse,,,,159.79682483333332,,,
size,emp_m_size,m=0.6|size=400,mlp_pool,edd,60,60,,944.3561800000002,-1.0710366666666467,-5.005737591666623,3.2577894499999975,equivalent,,,,8.26352704166662,,,
size,emp_m_size,m=0.6|size=400,attn_pool,edd,60,60,,944.3561800000002,10.074551999999986,2.736974808333315,19.361522766666635,inconclusive,,,,16.62454795833332,,,
size,emp_m_size,m=0.6|size=400,v1_pool,edd,60,60,,944.3561800000002,-2.261446666666648,-6.566101916666656,1.8049871111111315,equivalent,,,,8.371089027777789,,,
size,emp_m_size,m=0.6|size=400,rollcp2,edd,16,16,,994.8807374999999,-2.245737499999983,-6.011335624999976,0.7629774999999597,equivalent,,,,6.774313124999936,,,
